jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1]:window=1000:field=word, 
2028,  254924,  completed,  eof,  2014-05-23 20:14:49,  2014-05-23 20:14:58,  9,  modelParams|clParams|alpha_0.095005.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.005285,  107,  0.095005,  12,  16,  5,  0.005285,  0.858490566038, 
2028,  254927,  completed,  eof,  2014-05-23 20:14:50,  2014-05-23 20:14:57,  7,  modelParams|clParams|alpha_0.0760244297787.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.0140666868888,  107,  0.0760244297787,  12,  16,  4,  0.0140666868888,  0.858490566038, 
2028,  254928,  completed,  eof,  2014-05-23 20:14:50,  2014-05-23 20:14:57,  7,  modelParams|clParams|alpha_0.0878925473414.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0112391303879,  107,  0.0878925473414,  11,  14,  5,  0.0112391303879,  0.858490566038, 
2028,  254931,  completed,  eof,  2014-05-23 20:14:50,  2014-05-23 20:14:58,  8,  modelParams|clParams|alpha_0.0996359759086.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  107,  0.0996359759086,  12,  15,  5,  0.0003,  0.820754716981, 
2028,  254932,  completed,  eof,  2014-05-23 20:14:50,  2014-05-23 20:14:57,  7,  modelParams|clParams|alpha_0.0928768651748.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.00750775631733,  107,  0.0928768651748,  12,  16,  5,  0.00750775631733,  0.849056603774, 
2028,  254936,  completed,  eof,  2014-05-23 20:14:51,  2014-05-23 20:14:58,  7,  modelParams|clParams|alpha_0.0902598574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0099729217222,  107,  0.0902598574447,  11,  16,  5,  0.0099729217222,  0.858490566038, 
2028,  254937,  completed,  killed,  2014-05-23 20:14:55,  2014-05-23 20:14:59,  4,  modelParams|clParams|alpha_0.0991206151748.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.00127650631733,  100,  0.0991206151748,  12,  16,  5,  0.00127650631733,  0.818181818182, 
2028,  254938,  completed,  killed,  2014-05-23 20:14:57,  2014-05-23 20:15:00,  3,  modelParams|clParams|alpha_0.0943861547861.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.00221830211008,  50,  0.0943861547861,  12,  16,  5,  0.00221830211008,  0.877551020408, 
2028,  254939,  completed,  killed,  2014-05-23 20:14:57,  2014-05-23 20:14:59,  2,  modelParams|clParams|alpha_0.0955697698833.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.00149460000323,  50,  0.0955697698833,  12,  16,  5,  0.00149460000323,  0.816326530612, 
2028,  254940,  completed,  killed,  2014-05-23 20:14:57,  2014-05-23 20:15:00,  3,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  50,  0.1,  12,  16,  5,  0.0003,  0.816326530612, 
2028,  254941,  completed,  killed,  2014-05-23 20:14:57,  2014-05-23 20:15:00,  3,  modelParams|clParams|alpha_0.0981146013213.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.00221133190414,  50,  0.0981146013213,  12,  15,  4,  0.00221133190414,  0.877551020408, 
2028,  254942,  completed,  killed,  2014-05-23 20:14:58,  2014-05-23 20:15:00,  2,  modelParams|clParams|alpha_0.0979277217303.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.00612267891543,  50,  0.0979277217303,  12,  16,  5,  0.00612267891543,  0.897959183673, 
